relative_cap_error,true_cap,arm,requests,refusals,true_violations,true_violation_rate,mean_excess_all_outputs,rms_excess_all_outputs,max_excess,mean_true_margin,mean_estimated_margin,mean_native_return_all_outputs
0.01,0.7128,conditional_margin_1pct,2048,0,0,0.0,0.0,0.0,0.0,0.05220540360031678,0.05940540360031675,443.10341650477403
0.02,0.7056,conditional,2048,0,355,0.17333984375,0.0012149016406268406,0.003405359209906981,0.014371516047049782,0.04213300415293514,0.05653300415293511,442.322057326465
0.02,0.7056,projection,2048,0,613,0.29931640625,0.003336399688352864,0.0065990296877306105,0.014400094021760235,0.03381288153589759,0.04821288153589756,441.3415978003566
0.02,0.7056,refinement,2048,0,744,0.36328125,0.0033528678674720437,0.006130882686185905,0.014400104691749127,0.01647076526919848,0.03087076526919845,458.4645347965309
0.02,0.7056,bayesfp,2048,0,568,0.27734375,0.006733287837580773,0.01769108929510177,0.1291839729079105,0.03257355841798846,0.04697355841798842,440.82470512282555
0.02,0.7056,bayesfp_projected,2048,0,568,0.27734375,0.0030674779169302955,0.006319714878648943,0.01440010037999162,0.03623936833863893,0.050639368338638906,441.58043475296904
0.02,0.7056,projection_margin_1pct,2048,0,613,0.29931640625,0.0019009670748152399,0.0036145162146545115,0.007200106017859698,0.03524831414943522,0.049648314149435185,442.6744444826851
0.02,0.7056,conditional_margin_1pct,2048,0,226,0.1103515625,0.00039110361226337884,0.0013788726156263283,0.007161113999886615,0.045005403600316796,0.05940540360031675,443.10341650477403
0.05,0.6839999999999999,conditional,2048,0,882,0.4306640625,0.007856759603993194,0.01366731983303035,0.035971516047049845,0.02053300415293507,0.05653300415293511,442.322057326465
0.05,0.6839999999999999,projection,2048,0,1054,0.5146484375,0.012267729486326548,0.01906525151742767,0.0360000940217603,0.012212881535897533,0.04821288153589756,441.3415978003566
0.05,0.6839999999999999,refinement,2048,0,1370,0.6689453125,0.014636521994628218,0.02005222042070593,0.03600010469174919,-0.005129234730801582,0.03087076526919845,458.4645347965309
0.05,0.6839999999999999,bayesfp,2048,0,1020,0.498046875,0.015125857429210328,0.027705171479859396,0.15078397290791057,0.010973558417988392,0.04697355841798842,440.82470512282555
0.05,0.6839999999999999,bayesfp_projected,2048,0,1020,0.498046875,0.011460047508559851,0.018335149136466434,0.036000100379991684,0.01463936833863887,0.050639368338638906,441.58043475296904
0.05,0.6839999999999999,projection_margin_1pct,2048,0,1054,0.5146484375,0.010832296872788924,0.016461793983779623,0.02880010601785976,0.013648314149435157,0.049648314149435185,442.6744444826851
0.05,0.6839999999999999,conditional_margin_1pct,2048,0,826,0.4033203125,0.00610604496239543,0.010890065042669109,0.02876111399988668,0.023405403600316725,0.05940540360031675,443.10341650477403
